Sample	Gene	SIFT	Polyphen	MutAssessor	EGFR-R-C	EGFR_pY1068-R-V	EGFR_pY1173-R-C	EGFR_pY992-R-V	NMC	ActiveDriver	CLUMPS	OncodriveCLUST	iSIMPRe	SpacePAC	e-Driver	e-Driver3D	Hotspot	iPAC	LowMACA	GraphPAC
TCGA-32-4209-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0238-01	0	NA	NA	NA	-1.978287156	-3.475581373	-1.691756828	-3.770382627	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-5222-01	0	NA	NA	NA	0.455319503	0.259026366	0.544604952	-2.793072874	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-2564-01	0	NA	NA	NA	0.352036802	-1.287136066	-0.855405153	-3.282753226	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5213-01	2	0.99	0.952	3.545	NA	NA	NA	NA	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-32-1991-01	2	1.0	0.976	2.71	3.169658913	2.782911396	3.251975343	-0.285348428	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-06-2570-01	0	NA	NA	NA	-2.154947303	-3.102398858	-1.507034815	-3.67996755	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-6697-01	0	NA	NA	NA	-2.704436388	-3.091531767	-1.647730497	-4.07663739	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-2632-01	2	0.9299999999999999	0.867	2.79	NA	NA	NA	NA	2	1	2	2	1	1	1	1	1	2	1	2
TCGA-27-2523-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-74-6575-01	0	NA	NA	NA	-2.184948864	-2.975378054	-1.802781575	-4.304234998	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-5953-01	0	NA	NA	NA	-0.93764984	-2.984083263	-1.213401041	-3.585272729	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-27-2519-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-81-5911-01	2	1.0	0.989	3.06	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-28-1747-01	2	0.98	1.0	3.06	1.122225805	-0.25569359	-0.451728083	-2.403928448	2	1	1	2	1	2	1	1	2	2	2	2
TCGA-06-5859-01	0	NA	NA	NA	-0.42736387	-2.193964665	-1.458211524	-3.563367461	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-1387	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0939-01	0	NA	NA	NA	-1.447044556	-1.998765112	-1.685800665	-4.409584448	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0211-02	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6283-01	0	NA	NA	NA	-2.104674612	-2.878030995	-1.56155723	-3.59595252	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-1979-01	2	1.0	1.0	3.32	NA	NA	NA	NA	2	1	1	1	1	1	2	2	1	2	1	2
TCGA-06-0167-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-1755	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0173-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0686-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-26-6173-01	0	NA	NA	NA	0.167799547	-0.963915835	-0.85287794	-3.240588004	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-81-5910-01	2	0.99	0.953	3.33	-1.78494535	-1.647231861	-1.474842281	-4.02878174	2	1	2	2	1	1	2	1	1	2	1	2
TCGA-06-5416	2	0.94	0.55	2.8	NA	NA	NA	NA	1	2	1	1	1	1	1	1	1	1	1	1
TCGA-06-1804-01	2	0.97	0.993	1.525	-1.190725255	-2.645369663	-1.49215023	-4.097435575	2	1	1	2	1	1	2	1	1	2	1	2
TCGA-06-6699-01	0	NA	NA	NA	0.810955645	-0.0667860980000001	-0.0177343500000001	-2.681712553	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-0790-01	2	1.0	0.989	3.06	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-06-2561-01	2	0.85	0.072	2.99	NA	NA	NA	NA	2	2	1	1	1	1	1	1	1	2	1	2
TCGA-26-5135-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-5950-01	0	NA	NA	NA	1.219259402	1.017343614	0.577129752	-1.988622624	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-27-1837-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6191-01	2	1.0	1.0	4.095	NA	NA	NA	NA	1	1	2	2	1	1	1	1	1	2	1	1
TCGA-06-0189-01	0	NA	NA	NA	-1.13327966	-0.108553577	-0.238660569	-2.981629093	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-0862-01	0	NA	NA	NA	-2.127746065	-2.381676113	-1.578593756	-3.661246898	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-5413-01	2	0.96	0.441	1.765	1.393325395	-0.0468121589999999	0.110195153	-2.294314135	1	2	1	1	1	1	1	1	1	1	1	1
TCGA-12-0615-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-2566	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-2634-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-2554-01	2	0.99	0.952	3.545	NA	NA	NA	NA	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-14-0740-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5218-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-1088	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-4213-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-1093	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0137-01	2	1.0	0.994	2.775	NA	NA	NA	NA	2	1	1	2	2	1	1	1	1	2	1	2
TCGA-14-0867	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0129-01	0	NA	NA	NA	-0.961524538	-2.732947649	-1.755748687	-3.765486593	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-41-4097-01	0	NA	NA	NA	-1.814305082	-2.735031929	-1.584835743	-4.172644868	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-1788	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6663-01	0	NA	NA	NA	-1.214312018	-3.021892339	-1.469718653	-4.017583061	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-1087	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-02-0055-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-41-2575-01	0	NA	NA	NA	-1.130744784	-2.431885012	-1.587083353	-3.818058087	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0119-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-5299-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-1801	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-26-5136-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5214-01	0	NA	NA	NA	1.620724496	0.836988114	0.635867492	-1.141637189	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1794	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-1760	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-26-1439-01	2	0.99	0.952	3.545	NA	NA	NA	NA	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-02-2486-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0618-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-1787	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-2494-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-6698-01	0	NA	NA	NA	-1.962234678	-3.446551241	-1.802758215	-4.275589994	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0827	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-16-0846-01	0	NA	NA	NA	-1.839447497	-2.764448852	-1.562095058	-3.737621624	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-0871-01	0	NA	NA	NA	-1.485907098	-1.88243403	-1.288880854	-3.914693622	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-16-1045-01	2	0.86	0.316	2.085	NA	NA	NA	NA	2	1	2	1	1	1	2	2	1	2	1	2
TCGA-14-1395-01	2	0.99	0.927	2.63	NA	NA	NA	NA	2	2	1	1	1	1	2	2	1	2	1	2
TCGA-76-6664-01	0	NA	NA	NA	1.809934599	-0.557294651	-0.194000157	-2.038649174	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-16-0848	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-1598	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1450-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-15-0742-01	2	1.0	0.997	3.95	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	2	1	1
TCGA-06-0192-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-2559-01	0	NA	NA	NA	-1.306497089	-2.876741201	-1.688092006	-3.909155148	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-02-0047-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-1389	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0828	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-15-1444-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1453	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5215-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-27-1833-01	0	NA	NA	NA	4.61448852	0.757184962	0.497885117	0.465464101	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-27-2528-01	2	1.0	1.0	3.325	0.464403489	1.346523384	0.893955183	-1.82111698	2	2	1	2	1	1	2	1	1	2	1	2
TCGA-12-3653-01	0	NA	NA	NA	4.063112684	-0.355241095000000	-0.249066149000000	1.344441694	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-1750	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-26-5134-01	0	NA	NA	NA	-2.035450879	-3.457095231	-1.573885819	-3.640675625	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0130-01	0	NA	NA	NA	-2.490025507	-3.472482643	-1.800962816	-4.27904178	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-16-0850	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-1986-01	0	NA	NA	NA	-1.987282577	-3.041811882	-1.580421432	-4.291235172	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-1749	2	1.0	0.997	3.575	NA	NA	NA	NA	2	1	1	2	1	1	1	1	1	2	1	2
TCGA-06-0185-01	2	0.99	0.869	2.565	NA	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1
TCGA-76-4926-01	2	1.0	1.0	3.325	-0.894982708	-2.293402017	-1.201102926	-3.154834072	2	2	1	2	1	1	2	1	1	2	1	2
TCGA-41-3393-01	0	NA	NA	NA	1.23851155	0.52036402	0.545611109	-2.154230973	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-3477	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-3644	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0649-01	2	0.98	0.776	2.695	NA	NA	NA	NA	2	1	1	1	1	1	2	1	1	2	1	2
TCGA-27-1835-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-4934-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-2625-01	0	NA	NA	NA	-1.691265499	-2.052306195	-1.54303895	-2.989459476	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-1753-01	0	NA	NA	NA	-0.250917047000000	-2.132721145	-1.10310649	-2.935459611	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-0812	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0141-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0152-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-2624-01	2	1.0	0.995		NA	NA	NA	NA	2	1	2	2	1	1	1	1	1	2	1	2
TCGA-76-4932-01	0	NA	NA	NA	0.661474419	0.071513331	0.171237085	-2.800216113	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-0817-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-0786-01	2	1.0	0.989	3.06	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2
TCGA-06-2562-01	0	NA	NA	NA	-2.328003992	-2.551075326	-1.642449753	-4.13774718	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0821-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5220-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0876-01	2	1.0	1.0	2.965	1.869450905	0.998736329	0.661381613	-2.368197363	2	1	1	2	1	2	1	1	2	2	2	2
TCGA-19-4068-01	0	NA	NA	NA	0.232571898	-2.371831137	-1.496455554	-3.420301121	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1829-01	2	1.0	0.997	3.575	NA	NA	NA	NA	2	1	1	2	1	1	1	1	1	2	1	2
TCGA-06-0648-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0818	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-76-6193-01	0	NA	NA	NA	-2.048083936	-2.628426094	-1.609686749	-4.039317857	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-2495-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5219-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-3646	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0644-01	0	NA	NA	NA	-2.312827617	-3.240053205	-1.507298683	-4.2476251	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0155-01	2	0.0	0.019	2.615	2.299267665	0.670982618	-0.0130295610000000	-1.576268426	2	1	1	2	1	1	2	2	1	2	1	2
TCGA-12-0820	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5209-01	2	0.99	0.958	2.855	NA	NA	NA	NA	2	1	1	2	2	2	1	2	2	2	2	2
TCGA-02-0033-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-6389-01	0	NA	NA	NA	-1.723740244	-2.768017259	-1.487352773	-3.536307472	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0171-02	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-5858-01	0	NA	NA	NA	-1.799274908	-2.544522856	-1.652873321	-4.077410278	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1458	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0829	2	0.8200000000000001	0.942	2.67	NA	NA	NA	NA	1	1	1	2	1	1	1	1	1	1	1	1
TCGA-06-0184-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-2513-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-0781-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-16-1048-01	2	1.0	0.998	2.91	NA	NA	NA	NA	2	1	2	1	1	1	2	2	1	2	1	2
TCGA-26-5132-01	0	NA	NA	NA	1.827819354	1.554996177	1.044490654	-1.360056998	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-27-2526-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-0169-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1821	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-3476-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-5408-01	0	NA	NA	NA	-0.222905578	-1.297372818	-0.925910552	-3.125038127	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5216-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-2616	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-19-1786	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-28-5204-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-32-2615-01	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-5411-01	0	NA	NA	NA	-2.20514877	-2.918257382	-1.502351581	-3.621100599	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-1597-01	0	NA	NA	NA	0.0235030839999995	-0.624109479	-0.5882824900	-2.988405313	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-12-0819	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-06-6390-01	0	NA	NA	NA	-0.437535387	-0.385263187	-0.844375048	-3.099048786	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-14-1451	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-02-2485-01	2	1.0	0.993	1.295	1.926516102	0.532383641	0.293188479	-2.022052682	2	2	2	2	2	2	2	2	2	2	2	2
